"","MSE_ch","MSE_th","MSE_oh","MSE_cdh","MSE_tdh","MSE_odh","std_ch","std_th","std_oh","std_cdh","std_tdh","std_odh"
"CT",0.234995170624811,0.223559912334479,0.217190128026168,0.537433148729176,0.538079696102476,0.639276172058327,0.165674015316096,0.145487818838258,0.0902250646561672,0.219867524530525,0.211711366675903,0.208526912700976
"tstats",0.227399896961419,0.219903204910853,0.228289941165789,0.529738413978598,0.52704531621385,0.642467108514553,0.15150516091958,0.123661010339446,0.0887671678596868,0.221158814221692,0.216189187207764,0.20522740507111
"fit",0.165453565244668,0.159853923246293,0.163814910613219,0.117304163194802,0.114753757561085,0.240665158171161,0.103513754246394,0.0858533184390197,0.0715654494438404,0.0524435260040043,0.0473184786191291,0.0882266451923235
"TOT",0.167492418279973,0.164135864886713,0.171940222827142,0.207651953078853,0.206737042825646,0.245713969256898,0.113138605065608,0.0914810291514605,0.0766031118490715,0.104706366516019,0.10900498583658,0.128491504841523
