"","MSE_ch","MSE_th","MSE_oh","MSE_cdh","MSE_tdh","MSE_odh","std_ch","std_th","std_oh","std_cdh","std_tdh","std_odh"
"CT",0.872369890576937,0.86897852040468,0.323016607043719,0.572420992043335,0.584098287558147,0.661901396361886,0.509492321552812,0.472596951708119,0.123547879977506,0.31958870390278,0.378175587959733,0.290524327306786
"tstats",0.907270738242821,0.885414346371962,0.314968601363916,0.592022086585303,0.588005906116316,0.661095671505503,0.509054119909001,0.524682831061621,0.111638788335893,0.372934727545868,0.349727851665715,0.314864233845808
"fit",0.76674011052479,0.776026150234854,0.260418524810357,0.797648413458966,0.796603266657688,0.426592997492291,0.370920567848174,0.376964650112094,0.158316240917739,0.266142551379737,0.269741032972809,0.192888725100329
"TOT",0.483192347146831,0.475332543131896,0.285736297679609,0.76500918997834,0.780694041733408,0.545473982551006,0.342153086286379,0.311373775993882,0.147716595664541,0.51427985618208,0.553747084330915,0.275824759013438
