"","MSE_ch","MSE_th","MSE_oh","MSE_cdh","MSE_tdh","MSE_odh","std_ch","std_th","std_oh","std_cdh","std_tdh","std_odh"
"CT",0.445722779158498,0.383728536716855,0.328363770164926,0.728261656844045,0.743800328902745,0.788584715737947,0.328442616669853,0.245951940997477,0.113714255785006,0.365459182036141,0.345851203953287,0.25695849445669
"tstats",0.43753680715141,0.372957497593369,0.328363770164926,0.739879747234675,0.745333028837787,0.788870104316954,0.326232211988638,0.233022009227801,0.113714255785006,0.375677391421747,0.360744575238338,0.256604410736025
"fit",0.331183185773744,0.283059624072218,0.328363770164926,0.238898450710621,0.226954378481315,0.776157236292222,0.259310998588647,0.172346140555908,0.113714255785006,0.202528509653395,0.120834293834973,0.273543705654256
"TOT",0.341303817337542,0.300214058503285,0.328363770164926,0.399005682539913,0.37691263366305,0.784578741479479,0.247359413117548,0.217664204003425,0.113714255785006,0.34418403962329,0.305687517382573,0.265190791701257
