"","MSE_ch","MSE_th","MSE_oh","MSE_cdh","MSE_tdh","MSE_odh","std_ch","std_th","std_oh","std_cdh","std_tdh","std_odh"
"CT",1.26930157489224,1.2640169268923,0.360445349586259,0.590173718044557,0.604817479100375,0.71058454895864,0.724563176251282,0.706080879983861,0.162577832797818,0.388371126377238,0.464724893077858,0.385399386760712
"tstats",1.20401962298526,1.22151662890503,0.356649167459298,0.570408244067164,0.586831066621937,0.703781244864947,0.704287942248397,0.699599619519929,0.157017845669359,0.345655377481992,0.36556927727089,0.386919653630784
"fit",1.07085282361654,1.07667972785258,0.309191308110914,1.17249092472795,1.17232006019705,0.497505050846545,0.515643793813584,0.512760541590838,0.203697799067163,0.412081616145702,0.404587626754097,0.239777915603109
"TOT",0.518417686969414,0.501173983447987,0.338042668634487,0.825638317013828,0.824630103357438,0.69138721748041,0.404363567074622,0.380984978481939,0.19173868868715,0.662466485653849,0.686881594571188,0.342807252613642
