"","Bias_percent","Std","RMSE"
"ATE",-0.098646758204147,0.298897819161895,0.314727217162202
"Combined",-0.080360546770214,0.434611931699523,0.441936161845309
"Truncated",0.057283497259323,0.21421609327455,0.221722249603296
"Overlap",-0.0148268128807644,0.124858043982442,0.125722900145889
