"","Bias_percent","Std","RMSE"
"ATE",0.0432591897891812,0.133590192958866,0.140407007973507
"Combined",0.253800456429681,0.125693613930455,0.283214400216331
"Truncated",0.0893075242425536,0.0930065571903924,0.128935346289557
"Overlap",0.0107312024986284,0.0324305691786565,0.0341568466922042
