"","Bias_percent","Std","RMSE"
"ATE",-0.0433325621374997,0.223501745255953,0.227641715131104
"Combined",0.0898454162708979,0.177878555879931,0.1992652787384
"Truncated",0.0354803638270202,0.0787013599728553,0.0863221958598272
"Overlap",-0.00570385424631947,0.078472057639088,0.0786712540297254
